pair_id,stratum,snag_a,snag_b,text_a,text_b,nn_similarity,label,labeller
72,nn,126132,126128,CORROSION ON SEAT RAIL BTW FS 477.40 TO FS 581 LBL 9.00 AT CABIN PAX. SEAT RAIL BTW FS 477.40 TO FS 581 LBL 9.00 WAS EVALUATED OUT OF LIMITS PER CRJ900 SRM 53-31-49-101-001-A02 AND WAS REPLACED PER CRJ900 AMM 53-00-49 (CONFIG A12),CORROSION ON SEAT RAIL BTW FS 364 TO FS 477.40 LBL 9.00 AT CABIN PAX. CORROSION ON SEAT RAIL BTW FS 364 TO FS 477.40 LBL 9.00 WAS EVALUATED OUT OF LIMITS PER CRJ900 SRM 53-21-49-101-001-A01 AND WAS REPLACED PER CRJ900 AMM 53-00-49 (CONFIG A12),0.9851840138435644,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
73,nn,113011,79162,"DURING HEAVY MAINTENANCE: MISSING MATERIAL ON EXTERNAL SKIN LOCATED BTW FRAME 78 TO FRAME 80 PLUS 4 INCH AND BTW STRINGER 1 LH TO 1RH THS COMPARTMENT; (RESOLVED ON W/O: 1289680 TASKCARD: NR-00036) PERFORMED PERMANENT REPAIR ON EXTERNAL SKIN LOCATED BTW FRAME 78 TO FRAME 81 BTW STRINGER 2L TO STRINGER 2R ON THS COMPARTMENT IAW A320 SRM 53-51-11-300-002 WITH DEVIATIONS AND EA #53-9042-24 EA COVER REVISION# 0, EA PART 1, EA PART 2, EA PART 3. THIS REPAIR IS CATEGORY A NO ADDITIONAL REQUIREMENTS IS REQUIRED. PERFORMED LAY OUT ON EXTERNAL SKIN, BTW FR78 AND FR82, BTW STR3R TO STR3L I.A.W. EA #53-9042-24, PART #2, PART C, STEP 1. PERFORMED DOUBLER REPAIR LOC. FROM FR78 TO FR81, BTW STR2L AND STR2R, I.A.W A320 SRM 53-51-11-300-002 AND STEP 1 OF EA # 53-9042- 24 PART# 2 PART C ITEM (A),(B),(D) DRILLED AND COUNTERSUNK OPEN HOLES ON DOUBLER REPAIR I.A.W A320 SRM 51-44-11 AND A320 SRM 51-46-11. PERFORMED CHAMFER ON EDGE OF DOUBLER REPAIR I.A.W A320 51-47-00. MATERIAL USE: SHEET METAL CLAD 2024 T3 AND THICKNESS 1.80 MM (0.071 INCH) PO: 2023-278719/001. APPLIED PROTECTIVE TREATMENT ON NEW DOUBLER REPAIR AND REPAIR AREA LOC. FROM FR78 TO FR81, BTW STR2L TO STR2R, I.A.W A320 SRM 51-21-11 AND A320 51-23-11.","DURING HEAVY MAINTENANCE: DENT EXTERNAL SKIN LOCATED BTW FR 79 AND FR 80 AND BTW STRINGER 2LH A ND STRINGER 2RH ON UPPER FUSELAGE; (RESOLVED ON W/O: 1409303 TASKCARD: NR-00057) REF AEROMAN W/O 2025 282/1 NR 2025-505895. PERFORMED PERMANENT REPAIR LOCATED ON EXTERNAL SKIN BETWEEN FR79 TO FR80 AND BETWEEN STR 2LH TO STR 2RH ON UPPER FUSELAGE IAW A320 SRM 53-51-11-300-002,FIGURE 001/53-51-11-300-002 SHEET (2/2) THIS REPAIR IS CATEGORY: A NO FURTHER ACTIONS OR INSPECTIONS REQUIRED. 2RH ON UPPER FUSELAGE IAW A320 SRM 53-51-11-300-002,FIGURE 001/53-51-11-300-002 SHEET (2/2) THIS REPAIR IS CATEGORY: A NO FURTHER ACTION REQUIRED.",0.8028304581091522,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
74,nn,151393,21419,"FLT#2319, EWR-AUA. 'STRONG ODOR REPORTED BY INFLIGHT DURING DESCENT ODOR LASTED APPROX 5 MINS FLIGHT DECK ALSO NOTICIED SLIGHT ODOR THAT LASTED FOR SEVERAL MINUTES BOTH PACK OPERATING NORMALLY; C/W INFO NOTICE 2017T 015K. NO 30 DAY HISTORY. INSP APU NO EVIDENCE OF OIL. RAN BOTH PACKS WITH APU AI. NO SMELL RAN ENG 1 PACK 1 & ENG 2 PACK 2 NO SMELL NOTED.","FLT#2319, EWR-AUA. 'LEVEL 1 ODOR EVENT IN DESCENT. OIL SMELL STARTED AT 10,000 AND DISSIPATED AT 3,000. FLT CREW AND FWD FA SMELLED ODOR, AFT FA SMELLED NOTHING. COMPLETED ODOR RECOGNITION GUIDANCE CHECKLIST AND ODOR REPORTING FORM. APU OFF ( PACKS ).' (SUPPLEMENTAL INFORMATION TO FOLLOW)",0.810772832997802,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
75,nn,25715,113566,AIRCRAFT WAS NOT GROUNDED: AFT LAVATORY-D DOOR HARD TO OPEN AND CLOSE AND LOCK. ADJUSTED LAVATORY-D DOOR. PER AMM 25-40-14. OPERATIONAL CHECK GOOD.,AIRCRAFT WAS NOT GROUNDED: LAVATORY-D DOOR DIFFICULT TO OPEN AND CLOSE. ADJUSTED LAVATORY-D DOOR. PER AMM 25-40-00. OPERATIONAL CHECK GOOD.,0.978178676041128,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
76,nn,25974,53344,AIRCRAFT IN BASE MAINTENANCE: CORROSION ON LEFT WING TRAILING EDGE UPPER SKIN PANEL UPPER SURFACE AT RIB 3 AT THE INNER REAR SPAR. REPAIRED SKIN PANEL PER EA 363852.,AIRCRAFT IN BASE MAINTENANCE: CORROSION ON LEFT WING TOP SKIN PANEL UPPER SURFACE BETWEEN RIBS 1 AND 2 AT THE REAR SPAR. REPAIRED SKIN PANEL PER EA 367034.,0.9743089187048573,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
77,nn,74341,143174,AIRCRAFT WAS NOT GROUNDED: LEFT TANK PUMP 2 LOW PRESSURE ON ECAM DURING DECENT. MAINTENANCE REPLACED PUMP AMD ACCOMPLISHED A SATISFACTORY LEAK / OPERATIONAL CHECK PER AMM 28-21-51.,AIRCRAFT WAS NOT GROUNDED: LEFT FUEL TANK PUMP 2 LOW PRESSURE ECAM MESSAGE AT FLIGHT LEVEL 340. FLIGHT CREW ACCOMPLISHED ECAM PROCEDURES AND TURNED PUMP 2 OFF. **SUPPLEMENTAL REPORT FOR AALA202512311496 SUBMITTED 12/31/2025 BY TUL: MAINTENANCE REPLACED LEFT WING TANK #2 FUEL PUMP 25QA AND ACCOMPLISHED A SATISFACTORY OPERATIONAL / LEAK CHECK PER AMM 28-21-51. ** (CLOSED),0.8456441259969614,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
78,nn,73191,31784,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED INBOUND INTO SYR DUE TO THE FLIGHT CREW REPORTING THAT UPON GEAR EXTENSION ON APPROACH A GREEN HYDRAULIC SYSTEM RESERVOIR LOW LEVEL MESSAGE DISPLAYED, FLIGHT CREW ACCOMPLISHED ECAM PROCEDURES AND LANDED SAFELY AT SYR WHERE THE AIRCRAFT WAS TOWED TO THE GATE DUE TO THE LOSS OF NOSE WHEEL STEERING. IT WAS REPORTED THAT THE BOTTOM OF AIRCRAFT WAS COVERED IN HYDRAULIC FLUID. MAINTENANCE FOUND LEFT HAND MAIN LANDING GEAR DOOR ACTUATOR SWIVEL JOINT FITTING BROKEN AND REPLACED IT PER AMM 32-31-38. A SATISFACTORY LEAK / OPERATIONAL CHECK WAS ACCOMPLISHED.","LANDING GEAR REMAINS DOWN AND LG DOORS NOT CLOSED, AFTER LANDING GEAR RETRACTION, LANDING GEAR REMAINS DOWN AND LG DOORS NOT CLOSED, AFTER TAKE OFF THE FLEXIBLE HOSE WAS REPLACED IAW AMM 32-31-39-000/400-001-A REV 68. THE RT ACTUATING CYLINDER DOOR MLG AND REPLACED OF THE SWIVEL-JOINT WAS PERFORMED IAW AMM 32-31-38-000/400-001-A REV 68, OPS TEST SATISFACTORY NO LEAKS WERE FOUND IAW AMM 32-31-00-710-002-A REV 68.",0.6089820368918125,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
79,nn,31586,35924,EXTERIOR EMERGENCY LIGHT INOP DOOR 1L. RELAMPED DOOR 1L EMERG. EXTERIOR EMERG. LIGHT. OPS CHECK OK FOR SERVICE,"EMERGENCY LIGHTING SYSTEM OPS CHECK, DOOR 1L EXTERIOR EMERGENCY LIGHT IS INOPERATIVE. RELAMPED DOOR L1 EXTERIOR EVAC LAMP IAW AMM 33-51-04-960-801. OPS CHECKS GOOD.",0.8456846451697687,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
80,nn,107697,107698,RH COCKPIT FLOOR SUPPORT ANGLE AT BL26 CRACKED. R&R RH COCKPIT FLOOR SUPPORT ANGLE AT BL26 IAW CRJ SRM 51-42-06,LH COCKPIT FLOOR SUPPORT ANGLE AT BL26 CRACKED. R&R LH COCKPIT FLOOR SUPPORT ANGLE AT BL26 IAW CRJ SRM 51-42-06.,0.9905735271143584,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
81,nn,93402,94960,"FUME EVENT ON APPROACH. DIRTY SOCKS SMELL. SOURCE, CABIN AIR SUPPLY VENTS. FWD CABIN/GALLEY(LAV), MID CABIN, AFT CABIN/GALLEY(LAV). NO VISIBLE SMOKE/HAZE. NO MEDICAL ATTENTION REQUIRED.-UPON TURNING ON AC AND PACKS 2 CONFIMRED SMELL. FOLLOWED TSM 05-50-00-810-831-A PERFORMED LEVEL A DECONTAMINATION IAW AMM 21-0-00-602-802-A AND CHANGED RECIRCULATION FILTER IAW AMM 21-21-41. PERFORMED OPERATIONAL TEST OF BLEED AIR SYSTEM IAW AMM 36-12-00. NO SMEL NOTED AT THIS TIME.","FUME EVENT (DIRTY SOCK SMELL) ON FINAL APPROACH. SMELL IN CABIN, PACK #2 SELECTED OFF, CROSSBLEED CLOSED. DESCRIPTION OF FUME/ODOR: PERSISTENT, DIRTY SOCKS/MUSTY DRY/MOLDY SMELL. APPARENT CABIN SOURCE: CABIN AIR SUPPLY VENTS. FWD CABIN AND AFT CABIN. NO VISIBLE SMOKE/HAZE. NO MEDICAL ATTENTION REQUIRED.-FOLLOW TSM 05-50-00-810-831-A AND PERF ECS DECON AS PER AMM 21-00-00. ALSO USED AEROTRACER TO ID FUMES WITH NO RESULTS OF CONTAMINANTS AT THE TIME WITH BOTH ENGS RUNNING AT IDLE IAW AMM 71-00-00. A/C IS OK TO CONT SERV.",0.85893269074768,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
82,nn,60984,68453,DEFECT 795045: 1L DOOR / GIRT BAR BRACKET LOOSE.. - - RESOLUTION: REMOVED AND REPLACED 1L DOOR GIRT BAR J HOOKRIVET REF ; IPC 25-66-00-13. AMM REF: REMOVE AND INSTALL SLIDE. 25-66-01-400-803. RIVET REMOVE AND REPLACE REF. SRM51-40-02. RII 8379 .,GIRT BAR BRACKET ON DOOR 1R IS VERY LOOSE. ADJUSTED GIRT BAR DOOR STOWAGE HOOKS. REF AMM 25-66-01,0.7561957821379282,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
83,nn,113685,113684,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOOR SUPPORT LOCATED FROM BS 344 - 360, BL 0. REPLACED THE FLOOR SUPPORT IAW AARD 51-00-05-1.","AIRCRAFT IN BASE MAINTENANCE: CRACKED PASSENGER CABIN FLOOR SUPPORT LOCATED BS 276 - 294.5, BL 0. REPLACED THE FLOOR SUPPORT IAW AARD 51-00-05-1.",0.9519296345794636,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
84,nn,55157,82728,FORWARD ON FO SIDE ILLUMINATED STRIP INOP.<[01] INSPECTED LIGHT PER AMM 33-51-15 ILLUMINATE STRIP OPS CHECKS GOOD.,LH FWD OVER WING EXIT EXTERNAL EMERGENCY LIGHT INOP.<[01] C/W AND OPERATIONAL CHECK OF THE EMERGENCY LIGHTS IAW AMM 33-51-00.OPS CHECK GOOD.,0.7274137952153029,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
85,nn,106821,106823,DURING HEAVY MAINTENANCE: CORROSION ON SHEAR CLIP LOCATED IN FR88 & STGR 27R/28R AT INTERNAL STRUCTURE OF CF III; REF: TOMX W/ 2527 N/R 00143 REPLACED PER EMB190 SRM 51-41-01 AND SRM 51-41-02.,DURING HEAVY MAINTENANCE: CORROSION ON SHEAR CLIP LOCATED BTW STRG 27L/28L AND FR85 AT INTERNAL STRUCTURE OF CF III; REF: TOMX 2527 R/R 00327 REPLACED PER EMB-190 SRM 51-41-01 AND SRM 51-41-02.,0.9530876590881489,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
86,nn,130280,130281,INTERIOR; STRINGER CLIP 4L IS CRACKED AT BS 727E.<[01] REMOVED AND EPLACED STRINGER CLIP 4L BS727E PER SRM 51-40-02; DWG#146A1112 REV:-. AND SRM 51-10-02 PARAGRAPH 9;[02] VERIFIED CORRECTIVE ACTION COMPLETE.,INTERIOR; STR CLIP 4L IS CRACKED AT BS 727C.<[01] REMOVED AND REPLACED STRINGER CLIP P/N#143A1010-1 AT BS 727C STR 4L PER SRM 51-40-02-0G-0 AND PER DWG#146A1103.;[02] VERIFIED ACTION 1. JOB COMPLETE.,0.9519293534650474,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
87,nn,25863,133137,AIRCRAFT WAS NOT GROUNDED: 3R DOOR SLIDE ARMING HANDLE IS LOOSE AND DIFFICULT TO ARM. MAINTENANCE RESECURED HANDLE HARDWARE ON THE 3R DOOR AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 52-20-00.,AIRCRAFT WAS NOT GROUNDED: 3R DOOR SLIDE ARMING HANDLE IS LOOSE. MAINTENANCE ADJUSTED ARMING HANDLE AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 52-22-00.,0.9706281563624866,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
88,nn,117733,90477,CRACK WEB - INTERCOSTAL LOCATED BTW STA 500 TO STA500A AT LEVEL STR 26L FWD CARGO COMPARTMENT 2024-286774<[01] REPLACED WEB - INTERCOSTAL AND FASTENERS LOCATED BTW STA 500 TO STA500A AT LEVEL STR 26L FWD CARGO COMPARTMENT IAW B737-700 SRM-51-10-02-0G-0 ITEM 9; B737-700 SRM 51-40-02-0G-0 AND DWG:143A7505 SHEET 81 REV-:.SEE INDIVIDUAL SIGN OFF BELOW.;[02] REPLACED WEB - INTERCOSTAL AND FASTENERS LOCATED BTW STA 500 TO STA500A AT LEVEL STR 26L FWD CARGO COMPARTMENT IAW B737-700 SRM-51-10-02-0G-0 ITEM 9; B737-700 SRM 51-40-02-0G-0 AND DWG:143A7505 SHEET 81 REV-:.SEE INDIVIDUAL SIGN OFF BELOW.,CRACK WEB - INTERCOSTAL LOCATED BTW STA 500B TO STA 500C AT LEVEL STR 26R FWD CARGO COMPARTMENT 2024-217737<[01] REPLACED WEB - INTERCOSTAL AND FASTENERS LOCATED BTW STA 500B TO STA 500C AT LEVEL STR 26R FWD CARGO COMPARTMENT IAW B737-700 SRM 51-10-02 ITEM 9; SRM 51-40-02 AND DWG 143A7505 SHEET 81 REV -. SEE INDIVIDUAL SIGN OFF BELOW.;[02] REPLACED WEB - INTERCOSTAL AND FASTENERS LOCATED BTW STA 500B TO STA 500C AT LEVEL STR 26R FWD CARGO COMPARTMENT IAW B737-700 SRM 51-10-02 ITEM 9; SRM 51-40-02 AND DWG 143A7505 SHEET 81 REV -. VERIFIED,0.9339883248792348,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
89,nn,79160,122558,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: ON CLIMB OUT GOT A FUEL IMBALANCE INDICATION WITH APPROXIMATELY 1500LB BETWEEN LEFT AND RIGHT TANKS. AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT DFW. PERFORMED FQIS BITE TEST, NO INFLIGHT FAULT AND FAULT HISTORY FOUND PER FIM 28-41-00-810-801. REMOVED AND REPLACED FUEL QUANTITY PROCESSOR UNIT. PER AMM 28-41-81. OPERTIONAL CHECK GOOD.","AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: FUEL IMBALANCE DURING FLIGHT, REBALANCED BUT FUEL WOULD NOT STOP TRANSFERING ONCE PUMP TURN OFF; AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT DFW. SUCCESSFULLY TRANSFERRED FUEL, FQIS BITE CHECK, ALL INDICATION CORRECT, NO FAULT FOUND. PER AMM 28-41-00.",0.8650713241270499,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
90,nn,24997,98417,FLOOR PANEL 221BF HAS 5EA PLACES OF PANEL BEING CRACKED/BROKEN ON LOWER SURFACE.<[01] REPLACED FLOOR PANEL 221BF WITH SERVICEABLE FLOOR PANEL ON SHELF I.A.W REFERENCE TO AIPC 53-21-51-75 PG 14 SHEET 01 ITEM A;[02] INFO ONLY: PANEL 221BF WAS REPLACED ON #TTG8Q00Y4M8W & INSTALLED ON #TTG8Q00YHR2,FLOOR PANEL 221GF IS DELAMINATED; CORNER CRACKS AND 1 BAD INSERT<[01] FLOOR PANEL 221GF WITH UPPER SKIN DELAMINATIONS; CORNER CRACKS AND 1 BAD INSERT WAS REPLACED WITH A SERVICEABLE FLOOR PANEL PER SRM 51-10-02-0G-0 PARA 9.A.1 DUE TO AMOUNT OF ALL DAMAGE.,0.7434653792699959,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
91,nn,124761,99781,DURING HEAVY CHECK CF III FR 90-91 RLB 25 FOUND CORRODED INTERCOSTAL. REMOVED AND REPLACED CORRODED INTERCOSTAL IAW EMB 170/175 SRM 51-41-01,"DURING HEAVY CHECK CF III FLOOR SUPPORT BETWEEN FR 88 - FR 90 RBL 40 FOUND CORRODED. REMOVED AND REPLACED FLOOR SUPPORT IAW EMB 170/175 SRM 51-42-01, 51-43-01",0.8223941081048847,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
92,nn,125548,133253,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN FORWARD CARGO COMPARTMENT FLOOR STRUCTURE CHANNEL ASSEMBLY AT STA 500D, LBL 19. REPLACED CHANNEL ASSEMBLY PER AARD 51-00-05-1.",AIRCRAFT IN BASE MAINTENANCE: CABIN FLOOR STRUCTURE FLOORBOARD SUPPORT CRACKED AT STA 540 AND LBL2. COMPLETED INSTALLATION OF BREAK ASSEMBLY. PER AARD 51-00-05 AND I.P.C 53-31-00.,0.793619538114126,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
93,nn,25521,25522,L/H HORIZONTAL STAB REMOVABLE L/E; 4TH RIB FROM I/B END IS CRACKED. REMOVED AND REPLACED 4TH RIB FROM I/B END OF L/H HORIZONTAL STAB. L/E IAW SRM 51-40-02-0G-0 PARA. 4.,L/H HORIZONTAL STAB REMOVABLE L/E; 3RD RIB FROM I/B END IS CRACKED. REMOVED AND REPLACED 3RD RIB FROM I/B END OF L/H HORIZONTAL STAB. L/E IAW SRM 51-40-02-0G-0 PARA. 4.,0.9881792355936122,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
94,nn,110835,38869,AIRCRAFT WAS NOT GROUNDED: FORWARD ENTRY DOOR GIRT BAR PLASTIC BUMPER LOOSE. RE-SECURED GRIT BAR RELEASE STOP ASSEMBLY. PER AMM 25-66-01.,AIRCRAFT WAS NOT GROUNDED: DOOR 1R (SERVICE DOOR) GRIT BAR DIFFICULT TO DISARM. REMOVED DEBRIS AND LUBRICATED GRIT BAR SLIDE BRACKETS. OPERATIONAL CHECK GOOD. PER AMM 26-66-02.,0.9347343049547568,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
95,nn,103058,84169,"EMERGENCY LIGHTING SYSTEM OPS CHECK IAW B737-33-3-0235, EMERGENCY AISLE LIGHTS AT SEAT ROWS 29DEF AND 34DEF INOPERATIVE. REMOVED AND REPLACED FUSE OF EMERGENCY EXIT LIGHT BATTERY PACK M3379 IAW AMM 33-51-06-960-804 AND WDM 33-51-13-6.1. OPS CHKD NORMAL.",CABIN SEAT EMERGENCY LIGHTS INOP FROM 22ABC TO 27ABC. REPLACED FUSE NUMBER 2 ON EMERGENCY BATTERY PACK CHARGER M1670 IAW AMM 33-51-06-960-804.PERFORMED EMERGENCY LIGHTS OPERATIONAL CHECK IAW AMM 33-51-00-720-801. OPS CHECK GOO D.,0.8287577629089355,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
96,nn,117033,117034,AIRCRAFT IN BASE MAINTENANCE: FLIGHT DECK CENTER WINDSHIELD FRAMING LEFT HAND LATERAL POST WINDSHIELD FRAME UPPER ATTACHMENT CRACKED BETWEEN FR 3 AND FR 4 AT Y0. REPLACED WINDSHIELD FRAME PER EA 353864.,AIRCRAFT IN BASE MAINTENANCE: FLIGHT DECK CENTER WINDSHIELD FRAMING RIGHT HAND LATERAL POST WINDSHIELD FRAME UPPER ATTACHMENT CRACKED BETWEEN FR 3 AND FR 4 AT Y0. REPLACED WINDSHIELD FRAME PER EA 353864.,0.998897433280952,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
97,nn,84188,142292,R/H AFT EMERGENCY EXIT LIGHTS INOPERATIVE. REMOVED AND REPLACED RIGHT AFT BATTERY PACK IAW AMM 33-51-06. OPS CHECK GOOD. NO OTHER DEFECTS NOTED.,MULTIPLE AFT R/H EMERGENCY LIGHTS INOPERATIVE. REMOVED AND REPLACED R/H AFT EMERGENCY LIGHT BATTERY PACK REF AMM 33-51-06. OPS CHECK GOOD,0.8572392122913831,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
98,nn,122561,122559,DETERIORATED GIRT BAR FLOOR BRACKETS HARDWARE AND PLATES ON FWD ENTRY DOOR AT FWD GALLEY AREA 2024-672478<[01] REPLACED GIRT BAR FLOOR BRACKETS HARDWARE AND PLATES ON FWD ENTRY DOOR AT FWD GALLEY AREA IAW B737-700 AMM 25-66-02-400-801; FOR INSTALLATION STEPS SEE TASK 725-025-00-01Y (TTG8Q003B5U5; STEP13);[02] CERTIFIED WORK PERFORMED,DETERIORATED GIRT BAR FLOOR BRACKETS HARDWARE AND PLATES ON FWD SERVICE DOOR AT FWD GALLEY AREA 2024-672479<[01] REPLACED GIRT BAR FLOOR BRACKETS HARDWARE AND PLATES ON FWD SERVICE DOOR AT FWD GALLEY AREA IAW B737-700 AMM 25-66-02-400-801; FOR INSTALLATION STEPS SEE TASK 725-025-00-01Y (TTG8Q003B5U5; STEP13);[02] CERTIFIED WORK PERFORMED,0.99016195770217,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
99,nn,103603,40933,"L1 MAIN DOOR SLIDE NEEDS REPACKING. THE SLIDE PACK CHECKED IAW AMM 25-66-01-200-802. NO FAULTS NOTED, OK FOR SVC.",R1 DOOR SLIDE PARTIALLY DEPLOYED<[01] C/W MT 725-61-06 A/C OK FOR SVC,0.6669253111811363,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
100,nn,71794,71793,CRACKED FWD / MID & AFT HINGES OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT FWD / MID & AFT HINGES OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT REPLACED IAW SRM 51-42-06-001-001-A01 (FWD & AFT HINGES) WERE MANUFACTURED PER EA NO. CRJ953-20605 REV IR AND EA NO.CRJ953-20606 REV IR,CRACKED FWD / MID & AFT HINGES OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT FWD / MID & AFT HINGES OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT REPLACED PER CRJ 900 SRM 51-42-06-001-001-A01 (FWD & AFT HINGES) WERE MANUFACTURED PER EA NO. CRJ953-20605 REV IR AND EA NO.CRJ953-20606 REV IR,0.9859076738357614,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
101,chapter,37930,140330,"AC 439 #1 ENG ESN 896345 CHRONIC HISTORY EGT INDICATION FAULTS, CURRENT EEC BITE CHECK FAULT 77-20861 FINDING IN LP 8564232. PLEASE ACCOMPLISH (1) REMOVE AND REPLACE CJ9 & CJ10 HARNESSES PE R AMM TASKS 73-21-06-000-803-F00 AND 73-21-06-400-803-F00, AND ( 2) REMOVE AND REPLACE J9 & J10 HARNESSES PER AMM TASKS 73-21-06- 000-802-F00 AND 73-21-06-400-802-F00, AND (3) REMOVE AND REPLACE T495 PROBES (QTY=4) ALL LOCATIONS S1,S2,S3,S4 PER AMM 77-21-01/4 01. DUE TO CHRONIC HISTORY, RECOMMEND TO INSTALL ONLY BRAND-NEW (TSN=0) HARDWARE FOR CJ9, CJ10, J9, J10, AND 4EA T49.5 EGT PROBE S. PLEASE RECORD ANY FINDIGNS & CORRECTIVE ACTIONS IN THIS LOGPAGE.CARRIED BY ELB REMOVED CORE ENGINE HARNESS AND CJ9 AND CJ10 PER AMM TASK 73-21-06-000-803-F00. ALSO REMOVED 3 OCLOCK STRUT HARNES COVER PER AMM TASK 73-21-06-000-802-F00. ALL PARTS REMOVED PLACED ON TABEL NEAR ENGINE. ALL CBS PULLED PER AMM IN FLIGHT DECK REPLACED T522 (S2) THERCOUPLE PROBE REF. AMM 77-21-01. NEEDS OPS CHECKS. PARTS USED: 29-7721-9-9001,QTY :1 1533403,QTY :1 ROTABLE PARTS CHANGE WAS INDICATED - TT # 1533403 SN OFF 2211 IPC REFERENCE # 77-21-01 REPLACED T523 (S3) THERCOUPLE PROBE REF. AMM 77-21-01. NEEDS OPS CHECKS. PARTS USED: 1528376,QTY :1 ROTABLE PARTS CHANGE WAS INDICATED - TT # 1528376 SN OFF 1612 IPC REFERENCE # 77PROBE, THERMOCO OFF 29-7721-9-9001 1801 ON 29-7721-9-9001 1143 PROBE, THERMOCO OFF 29-7721-9-9001 2493 ON 29-7721-9-9001 2456 PROBE, THERMOCO OFF 29-7721-9-9001 8512 ON 29-7721-9-9001 2421",#2 ENGINE HIGHER THAN NORMAL EGT (630) WHILE AT IDLE AFTER ENG START. TEMP OF NUMBER #1 ENG WAS (480) WHICH IS MORE NORMAL. TEMP KBWI 50F. ON TAXI TOWER REPORTED TAIL PIPE FIRE #2 ENG.#2 ENG SHUTDOWN<[01] R&R #2 ENG T49.5 PROBE AND CJ9 HARNESS IAW AMM 77-21-01 AND 73-21-00 AND OP?S CHECK GOOD. REF TSR #2024008293.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
